"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-05","May-2022","NATUSD","National currency per US dollar","0","Units",,,7.036755,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-06","Jun-2022","NATUSD","National currency per US dollar","0","Units",,,7.041491,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-07","Jul-2022","NATUSD","National currency per US dollar","0","Units",,,7.312657,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-08","Aug-2022","NATUSD","National currency per US dollar","0","Units",,,7.345987,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,7.510832,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,7.571671,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,7.295255,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,7.023195,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2023-01","Jan-2023","NATUSD","National currency per US dollar","0","Units",,,6.907946,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2023-02","Feb-2023","NATUSD","National currency per US dollar","0","Units",,,6.94864,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2023-03","Mar-2023","NATUSD","National currency per US dollar","0","Units",,,6.95547,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2023-04","Apr-2023","NATUSD","National currency per US dollar","0","Units",,,6.79514,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2023-05","May-2023","NATUSD","National currency per US dollar","0","Units",,,6.848139,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2023-06","Jun-2023","NATUSD","National currency per US dollar","0","Units",,,6.870495,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2023-07","Jul-2023","NATUSD","National currency per US dollar","0","Units",,,6.738676,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2023-08","Aug-2023","NATUSD","National currency per US dollar","0","Units",,,6.831517,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2023-09","Sep-2023","NATUSD","National currency per US dollar","0","Units",,,6.979686,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2023-10","Oct-2023","NATUSD","National currency per US dollar","0","Units",,,7.063186,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","A","Annual","2022","2022","NATUSD","National currency per US dollar","0","Units",,,372.5743,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","Q","Quarterly","2022-Q1","Q1-2022","NATUSD","National currency per US dollar","0","Units",,,324.6649,,
